A_Low_1	B_Low_2	C_Low_3	D_Reg_1	E_Reg_2	F_Reg_3	G_High_1	H_High_2	I_High_3
TRINITY_DN37788_c0_g1	2.42903977780186	3.27187719757908	2.22629890195443	-1.07827624833982	-0.884853761044116	-1.22833268122411	-2.0168285760304	-1.46143277699006	-1.25749183370687
TRINITY_DN8077_c0_g1	1.80066754015066	0.729415540616399	1.42023620960515	-0.187239094033623	-0.272064526239126	-1.69440118848857	-0.562682190882854	-0.602625702821948	-0.63130658790608
TRINITY_DN51862_c0_g1	1.40547385197614	1.27814521882988	0.757104475625541	-0.573453924405261	-0.573453924405261	-0.573453924405261	-0.573453924405261	-0.573453924405261	-0.573453924405261
TRINITY_DN27997_c0_g1	-0.873256003877909	0.36223974171709	-0.327859576480993	-1.06168925457902	-0.468820499134458	-0.7419672046088	1.3476812074896	1.49614201150862	0.267529577965876
TRINITY_DN7874_c0_g1	-0.83731337181906	-0.705065573520621	-0.207840175032112	-0.154740074471482	-0.576685463692362	-0.83731337181906	0.951789845682321	1.08678651382168	1.28038167085069
TRINITY_DN12109_c0_g1	0.311006051087192	0.0359222624483968	0.0283046117973215	0.81021969457831	1.51736390846749	-0.491126124681739	-0.737230134565656	-0.737230134565656	-0.737230134565656
TRINITY_DN48928_c0_g1	1.39232922089765	0.827936926659245	0.658857162113066	-1.03044199842283	-0.769814090296127	-0.542955649074289	-0.359601662541264	0.301263218076067	-0.477573127411522
TRINITY_DN11583_c0_g1	1.543941944545	2.01037639895074	0.983255426447769	-0.626513110147203	-1.1564460715089	-1.88353187459328	-0.00157254350502445	-0.00119527956079857	-0.868314890628304
TRINITY_DN25988_c0_g1	1.63748112664961	0.831692060352613	1.28143854617275	-0.592927742446062	-0.229415402534821	-1.12595816672835	-0.375958536615168	-0.816357361660573	-0.609994523189994
TRINITY_DN7817_c0_g1	1.78786475381647	0.50056300203874	0.355022159223387	-1.35888392525975	-1.6865712894358	-1.57153804648956	0.918211714774122	0.503727502190799	0.55160412914158
TRINITY_DN31120_c0_g1	1.11474595608758	1.38071581011518	0.780236138659847	-0.433795064211887	-1.29913210003564	-1.30160670620135	0.189998695898017	0.0807102474244679	-0.511872977736207
TRINITY_DN22667_c0_g1	1.21974972717565	2.22375040140278	1.27404632492166	-1.09058434631498	-0.688729115080063	-0.927005276108561	-0.476425511367199	-0.566370501475067	-0.968431703154213
TRINITY_DN19596_c0_g1	1.20013949734114	1.69930931145639	0.169814960484347	-0.47747081920864	-0.728921681315418	-0.483019653129268	-0.67712153070431	-0.0939268221917084	-0.608803262732541
TRINITY_DN54044_c0_g1	0.904841181630772	0.569601708014816	0.499155713847919	-0.719275433608034	-0.970726295714812	-0.455164561776824	0.276102021453971	0.248995194753106	-0.353529528600913
TRINITY_DN10599_c0_g1	1.9683901748864	0.464217123852891	1.13981602956253	0.205787672211668	-0.64687408992642	-1.25400224645004	-0.285382661089819	-0.867326970248061	-0.724625032799146
TRINITY_DN58459_c0_g1	0.0468886190799892	1.87303138008535	0.959905317485349	-0.541915947935561	-0.541915947935561	-0.541915947935561	-0.365593175295098	-0.346568349613342	-0.541915947935561
TRINITY_DN62510_c0_g1	1.26035322312464	1.13284612577709	0.527322302573615	0.523600588592874	-0.914692262986273	-0.275923318569324	-0.914692262986273	-0.424122132540072	-0.914692262986273
TRINITY_DN3993_c0_g1	1.72068329147167	1.08829844271765	0.877721771628396	0.547401316898495	-0.82232574995166	-1.58616220884261	-0.446692713803815	-0.0545936000276488	-1.32433055009047
TRINITY_DN50721_c0_g1	0.650759854560823	1.81054937111852	0.529232489530275	0.277996743620539	-0.188443933536121	-1.03001457093164	-1.03001457093164	-0.377413353335119	-0.642652030095643
TRINITY_DN25900_c0_g1	-0.278410671555677	-1.31546322278638	-1.0836012500428	0.0491539588089687	0.325888630716819	-0.265314047425859	0.798138685949792	0.77544276018754	0.994165156147598
